price,km,hp,previous_owners,nr_of_doors,nr_of_seats,displacement,weight,emission_label,gears,comb_consumption,age,cc_index,em_index,ex_index,ss_index,leather_,make_model_Audi A2,make_model_Audi A3,make_model_Opel Astra,make_model_Opel Corsa,make_model_Opel Insignia,make_model_Renault Clio,make_model_Renault Duster,make_model_Renault Espace,body_type_Convertible,body_type_Coupe,body_type_Off-Road,body_type_Other,body_type_Sedans,body_type_Station wagon,body_type_Transporter,body_type_Van,vat_VAT deductible,type_Employee's car,type_New,type_Pre-registered,type_Used,warranty_warranty,paint_type_Uni/basic,gearing_type_Manual,gearing_type_Semi-automatic,drive_chain_front,drive_chain_rear,fuel_Diesel,fuel_LPG/CNG,fuel_Other,inspection_new_Yes
18380.0,31600,92.0,1.0,5.0,5.0,1395.0,1195.0,4.0,7.0,4.9,3.0,17.0,7.0,6.0,14.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18399.0,45764,112.0,1.0,3.0,4.0,1395.0,1195.0,4.0,7.0,4.456227758007118,3.0,11.0,3.0,3.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
17990.0,34914,70.0,1.0,5.0,4.0,999.0,1135.0,4.0,7.0,4.2,3.0,16.0,5.0,3.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18700.0,27000,85.0,1.0,5.0,4.0,1598.0,1275.0,4.0,7.0,3.7,3.0,11.0,7.0,1.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
18900.0,9752,85.0,1.0,5.0,4.0,1598.0,1175.0,4.0,5.0,3.5,1.0,3.0,3.0,3.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
18500.0,28408,66.0,1.0,5.0,5.0,1422.0,1220.0,4.0,7.0,3.8,2.0,12.0,6.0,2.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
18400.0,50280,70.0,2.0,5.0,5.0,999.0,1065.0,4.0,7.0,4.5,3.0,10.0,5.0,1.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0
18500.0,13406,85.0,1.0,5.0,5.0,1598.0,1195.0,1.0,7.0,3.8,1.0,11.0,6.0,4.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18500.0,51160,85.0,1.0,5.0,5.0,1598.0,1275.0,4.0,7.0,4.0,2.0,15.0,8.0,4.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
18500.0,15850,92.0,1.0,5.0,5.0,1395.0,1180.0,4.0,7.0,4.9,3.0,18.0,7.0,3.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
18900.0,17000,92.0,1.0,3.0,4.0,1395.0,1190.0,4.0,7.0,4.9,3.0,15.0,8.0,5.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18850.0,9077,85.0,1.0,5.0,4.0,1598.0,1630.0,4.0,7.0,3.7,1.0,3.0,1.0,1.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18500.0,3000,70.0,1.0,5.0,4.0,999.0,1165.0,4.0,7.0,4.4,1.0,14.0,8.0,2.0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
8999.0,115000,70.0,1.0,5.0,4.0,999.0,1135.0,4.0,5.0,4.2,3.0,5.0,2.0,2.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
11444.0,84029,70.0,1.0,2.0,4.0,999.0,1180.0,4.0,5.0,4.2,3.0,15.0,7.0,2.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
11300.0,67800,70.0,1.0,5.0,5.0,999.0,1135.0,4.0,5.0,4.2,3.0,5.0,1.0,1.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
